path,extension,is_folder,size,last_modified,created_time,is_container,contents,within_container,parent_object,Office_last_mod_time,Office_last_mod_by,XLS_num_sheets,PDF_num_pages,PDF_layout,MP3_track title,MP3_artist,MP3_duration,AUD_bitrate,IMG_size,IMG_dpi,IMG_device
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-16 263 The Broderick Matter - Ep 3_spectrogram.png,.png,False,175,Mon Oct  7 20:06:27 2024,None,,,,,,,,,,,,,,"(944, 591)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-17 264 The Broderick Matter - Ep 4.afpk,.afpk,False,148,Mon Oct  7 20:06:28 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-17 264 The Broderick Matter - Ep 4.mp3,.mp3,False,13654,Mon Oct  7 20:06:46 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-17 264 The Broderick Matter - Ep 4.png,.png,False,35,Mon Oct  7 20:06:32 2024,None,,,,,,,,,,,,,,"(800, 200)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-17 264 The Broderick Matter - Ep 4_spectrogram.png,.png,False,183,Mon Oct  7 20:06:33 2024,None,,,,,,,,,,,,,,"(944, 591)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-18 265 The Broderick Matter - Ep 5.afpk,.afpk,False,131,Mon Oct  7 20:06:33 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-18 265 The Broderick Matter - Ep 5.mp3,.mp3,False,13656,Mon Oct  7 20:06:48 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-18 265 The Broderick Matter - Ep 5.png,.png,False,28,Mon Oct  7 20:06:34 2024,None,,,,,,,,,,,,,,"(800, 200)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-18 265 The Broderick Matter - Ep 5_spectrogram.png,.png,False,196,Mon Oct  7 20:06:35 2024,None,,,,,,,,,,,,,,"(944, 591)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-21 266 The Amy Bradshaw Matter - Ep 1.afpk,.afpk,False,155,Mon Oct  7 20:06:36 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-21 266 The Amy Bradshaw Matter - Ep 1.mp3,.mp3,False,13787,Mon Oct  7 20:06:53 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-21 266 The Amy Bradshaw Matter - Ep 1.png,.png,False,35,Mon Oct  7 20:06:42 2024,None,,,,,,,,,,,,,,"(800, 200)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-21 266 The Amy Bradshaw Matter - Ep 1_spectrogram.png,.png,False,177,Mon Oct  7 20:06:43 2024,None,,,,,,,,,,,,,,"(944, 591)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-22 267 The Amy Bradshaw Matter - Ep 2.afpk,.afpk,False,157,Mon Oct  7 20:06:43 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-22 267 The Amy Bradshaw Matter - Ep 2.mp3,.mp3,False,13678,Mon Oct  7 20:07:02 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-22 267 The Amy Bradshaw Matter - Ep 2.png,.png,False,36,Mon Oct  7 20:06:47 2024,None,,,,,,,,,,,,,,"(800, 200)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-22 267 The Amy Bradshaw Matter - Ep 2_spectrogram.png,.png,False,178,Mon Oct  7 20:06:48 2024,None,,,,,,,,,,,,,,"(944, 591)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-23 268 The Amy Bradshaw Matter - Ep 3.afpk,.afpk,False,162,Mon Oct  7 20:06:49 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-23 268 The Amy Bradshaw Matter - Ep 3.mp3,.mp3,False,13827,Mon Oct  7 20:07:05 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-23 268 The Amy Bradshaw Matter - Ep 3.png,.png,False,37,Mon Oct  7 20:06:49 2024,None,,,,,,,,,,,,,,"(800, 200)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-23 268 The Amy Bradshaw Matter - Ep 3_spectrogram.png,.png,False,173,Mon Oct  7 20:06:50 2024,None,,,,,,,,,,,,,,"(944, 591)",No data,No data
